Categoría: Alimentación y bebidas

Región,Cupcake: (22/3/18 - 22/3/23)
Campeche,100
Tabasco,94
Aguascalientes,88
San Luis Potosí,87
Baja California Sur,85
Colima,84
Nayarit,81
Tamaulipas,80
Jalisco,79
Veracruz,79
Durango,77
Zacatecas,76
Yucatán,76
Coahuila de Zaragoza,70
Chiapas,70
Guerrero,69
Baja California,68
Querétaro,67
Nuevo León,67
Chihuahua,67
Morelos,65
Quintana Roo,64
Tlaxcala,61
Ciudad de México,61
Guanajuato,60
Michoacán,59
Hidalgo,59
Sinaloa,59
Oaxaca,58
Sonora,57
Estado de México,55
Puebla,51
