Categoría: Empresas e industrias

Región,Cupcake: (22/3/18 - 22/3/23)
Zacatecas,100
Durango,91
Tlaxcala,87
Tabasco,87
Guerrero,80
Baja California Sur,80
Baja California,79
Morelos,78
Campeche,75
San Luis Potosí,74
Tamaulipas,73
Quintana Roo,73
Nayarit,72
Coahuila de Zaragoza,70
Chiapas,69
Yucatán,67
Veracruz,66
Querétaro,63
Sinaloa,63
Chihuahua,61
Aguascalientes,61
Jalisco,59
Michoacán,59
Nuevo León,58
Colima,57
Guanajuato,55
Sonora,52
Ciudad de México,50
Estado de México,49
Hidalgo,47
Puebla,44
Oaxaca,31
