Categoría: Gente y Sociedad

Región,Cupcake: (22/3/18 - 22/3/23)
Campeche,100
San Luis Potosí,88
Durango,82
Aguascalientes,74
Nayarit,73
Tamaulipas,69
Jalisco,67
Chiapas,67
Tabasco,67
Guanajuato,66
Morelos,66
Zacatecas,64
Coahuila de Zaragoza,64
Yucatán,62
Michoacán,58
Guerrero,56
Chihuahua,53
Querétaro,52
Veracruz,52
Hidalgo,49
Quintana Roo,46
Oaxaca,46
Sonora,45
Estado de México,44
Sinaloa,44
Colima,44
Baja California,41
Nuevo León,41
Baja California Sur,40
Puebla,39
Ciudad de México,39
Tlaxcala,38
