Categoría: Informática y electrónica

Región,Cupcake: (22/3/18 - 22/3/23)
Tabasco,100
Campeche,98
Zacatecas,81
Nayarit,67
Baja California Sur,67
Chiapas,67
Querétaro,66
Baja California,64
Durango,61
Aguascalientes,60
Colima,60
Chihuahua,60
Tlaxcala,60
Veracruz,59
Coahuila de Zaragoza,58
Morelos,58
Jalisco,57
San Luis Potosí,54
Michoacán,53
Guerrero,51
Tamaulipas,50
Yucatán,49
Guanajuato,48
Estado de México,46
Nuevo León,45
Puebla,44
Oaxaca,43
Sonora,42
Quintana Roo,38
Sinaloa,37
Ciudad de México,36
Hidalgo,32
