Categoría: Ley y gobierno

Región,Cupcake: (22/3/18 - 22/3/23)
Tlaxcala,100
San Luis Potosí,84
Durango,73
Campeche,71
Tamaulipas,67
Baja California Sur,66
Morelos,55
Yucatán,52
Coahuila de Zaragoza,49
Zacatecas,47
Sonora,47
Guerrero,44
Guanajuato,42
Chihuahua,42
Hidalgo,41
Oaxaca,41
Estado de México,36
Nuevo León,36
Jalisco,36
Veracruz,35
Baja California,34
Michoacán,30
Querétaro,29
Chiapas,28
Quintana Roo,26
Ciudad de México,24
Nayarit,21
Sinaloa,18
Aguascalientes,17
Puebla,15
Colima,
Tabasco,
