Categoría: Referencia

Región,Cupcake: (22/3/18 - 22/3/23)
Durango,100
Tlaxcala,98
Colima,97
Campeche,87
Jalisco,82
Chiapas,81
Yucatán,76
Morelos,74
Veracruz,74
Guanajuato,74
Tabasco,74
San Luis Potosí,72
Coahuila de Zaragoza,71
Zacatecas,70
Guerrero,64
Puebla,62
Tamaulipas,62
Oaxaca,61
Aguascalientes,60
Sinaloa,59
Baja California Sur,54
Baja California,53
Estado de México,50
Quintana Roo,49
Ciudad de México,48
Hidalgo,48
Sonora,47
Nuevo León,47
Nayarit,45
Querétaro,45
Chihuahua,45
Michoacán,38
