Categoría: Arte y entretenimiento

Región,Cupcake: (22/3/18 - 22/3/23)
Tamaulipas,100
Campeche,95
San Luis Potosí,93
Yucatán,88
Coahuila de Zaragoza,86
Aguascalientes,84
Zacatecas,83
Tabasco,83
Jalisco,80
Sonora,79
Veracruz,73
Morelos,70
Chiapas,70
Baja California,68
Quintana Roo,66
Michoacán,64
Chihuahua,64
Baja California Sur,63
Puebla,60
Ciudad de México,58
Guerrero,58
Colima,57
Sinaloa,56
Estado de México,56
Durango,56
Guanajuato,56
Nuevo León,56
Querétaro,56
Oaxaca,55
Tlaxcala,52
Hidalgo,50
Nayarit,42
