Categoría: Automóviles y vehículos

Región,Cupcake: (22/3/18 - 22/3/23)
Colima,100
Baja California Sur,91
Tabasco,74
Yucatán,71
Aguascalientes,70
Nayarit,67
Hidalgo,61
Campeche,55
Baja California,54
Sonora,49
Guanajuato,48
San Luis Potosí,47
Jalisco,47
Guerrero,46
Veracruz,42
Morelos,42
Ciudad de México,41
Puebla,37
Nuevo León,37
Chiapas,35
Coahuila de Zaragoza,34
Oaxaca,32
Querétaro,28
Michoacán,27
Estado de México,26
Zacatecas,25
Sinaloa,22
Quintana Roo,14
Tamaulipas,13
Chihuahua,
Durango,
Tlaxcala,
