Categoría: Belleza y salud

Región,Cupcake: (22/3/18 - 22/3/23)
Tabasco,100
Colima,93
Zacatecas,88
Nayarit,81
Yucatán,63
San Luis Potosí,62
Guerrero,60
Campeche,60
Veracruz,59
Michoacán,59
Coahuila de Zaragoza,58
Chiapas,58
Jalisco,55
Tamaulipas,55
Nuevo León,54
Sonora,53
Querétaro,50
Durango,50
Baja California,48
Puebla,48
Chihuahua,48
Hidalgo,47
Sinaloa,47
Tlaxcala,45
Estado de México,45
Guanajuato,42
Aguascalientes,41
Ciudad de México,40
Quintana Roo,39
Oaxaca,33
Baja California Sur,25
Morelos,15
