Categoría: Casa y jardín

Región,Cupcake: (22/3/18 - 22/3/23)
Campeche,100
Zacatecas,91
Coahuila de Zaragoza,79
San Luis Potosí,76
Nayarit,70
Tamaulipas,64
Sinaloa,62
Michoacán,60
Quintana Roo,59
Tabasco,58
Nuevo León,58
Baja California,58
Aguascalientes,56
Guanajuato,55
Morelos,53
Hidalgo,52
Guerrero,49
Chihuahua,49
Durango,49
Jalisco,48
Tlaxcala,47
Colima,45
Querétaro,44
Veracruz,43
Yucatán,42
Baja California Sur,41
Chiapas,41
Ciudad de México,40
Estado de México,40
Oaxaca,38
Sonora,38
Puebla,37
