Categoría: Comunidades online

Región,Cupcake: (22/3/18 - 22/3/23)
Baja California Sur,100
Nayarit,51
Campeche,39
San Luis Potosí,36
Colima,33
Aguascalientes,32
Chihuahua,32
Yucatán,29
Tabasco,27
Tamaulipas,26
Hidalgo,26
Chiapas,25
Veracruz,25
Sinaloa,25
Jalisco,24
Oaxaca,23
Durango,22
Guanajuato,22
Sonora,22
Puebla,22
Tlaxcala,21
Michoacán,19
Baja California,17
Nuevo León,17
Ciudad de México,16
Coahuila de Zaragoza,14
Estado de México,14
Morelos,11
Querétaro,11
Quintana Roo,9
Guerrero,8
Zacatecas,
