Categoría: Aficiones y tiempo libre

Región,Cupcake: (22/3/18 - 22/3/23)
Tamaulipas,100
San Luis Potosí,93
Coahuila de Zaragoza,86
Aguascalientes,86
Yucatán,86
Nayarit,82
Baja California,77
Tabasco,76
Sonora,71
Zacatecas,71
Campeche,71
Jalisco,70
Colima,70
Chihuahua,68
Chiapas,67
Baja California Sur,65
Michoacán,62
Veracruz,61
Guerrero,60
Morelos,59
Durango,59
Nuevo León,57
Guanajuato,56
Hidalgo,56
Querétaro,56
Sinaloa,55
Quintana Roo,54
Oaxaca,45
Estado de México,44
Puebla,42
Ciudad de México,39
Tlaxcala,32
